,address,market_cap,price,token_name,total_supply
0,0x621d78f2ef2fd937bfca696cabaf9a779f59b3ed,"$2,094,533.58",$0.2588 ,DCORP,"8,094,002.47"
1,0xd7631787b4dcc87b1254cfd1e5ce48e96823dee8,"$279,078.48",$0.0167 ,SOCIALL,"16,714,019.66436979"
2,0xB70835D7822eBB9426B56543E391846C107bd32C,"$19,449,422.20",$0.0097 ,Game.com Token,"2,000,000,000"
3,0x39013f961c378f02c2b82a6e1d31e9812786fd9d,"$1,074,531.66",$3.5818 ,Speed Mining Service,"300,000"
4,0x8606a8f28e1e2fd50b9074d65c01548b1f040b32,"$23,033.19",$0.0000 ,Cryptrust,"8,966,516,683.73516685"
5,0x1a95b271b0535d15fa49932daba31ba612b52946,"$35,487.81",$0.0067 ,minereum,"5,266,646.44352"
6,0xe30e02f049957e2a5907589e06ba646fb2c321ba,"$195,944.83",$0.0411 ,DRP Utility,"4,763,519.373272"
7,0xd7631787b4dcc87b1254cfd1e5ce48e96823dee8,"$279,078.48",$0.0167 ,SOCIALL,"16,714,019.66436979"
8,0xd26114cd6ee289accf82350c8d8487fedb8a0c07,"$210,112,616.69",$1.4982 ,OmiseGO,"140,245,398.245132780789239631"
9,0x0ea984e789302b7b612147e4e4144e64f21425eb,"$25,983.96",$0.0000 ,WaleTokeN,"19,918,713,666.78670509"
10,0x43567eb78638A55bbE51E9f9FB5B2D7AD1F125aa,"$923,001.50",$0.0009 ,HAC Token,"1,000,000,000"
11,0xd2946be786f35c3cc402c29b323647abda799071,"$66,328.80",$0.0000 ,Vikky Token,"12,000,000,000"
12,0x13f25cd52b21650caa8225c9942337d914c9b030,"$695,510.80",$0.0007 ,realchain,"1,000,000,000"
13,0x8f3470A7388c05eE4e7AF3d01D8C722b0FF52374,"$1,685,205,429.36",$16.8521 ,Veritaseum,"100,000,000"
14,0x5e6b6d9abad9093fdc861ea1600eba1b355cd940,"$13,074,370.72",$0.1307 ,IOT Chain,"100,000,000"
15,0x78c292d1445e6b9558bf42e8bc369271ded062ea,"$35,441.60",$0.0000 ,CyberMusic,"17,000,000,000"
16,0x7abc60b3290f68c85f495fd2e0c3bd278837a313,"$21,250.00",$0.0000 ,CyberMovieChain,"20,000,000,000"
17,0x48df4e0296f908ceab0428a5182d19b31fc037d6,"$21,145.77",$0.0000 ,Fitrova,"7,588,648,240"
18,0x3363d570f6df3c74d486bb8785d3ebfb9e2347d3,"$197,960,746.20",$0.1980 ,HedgeTrade,"1,000,000,000"
19,0xb62d18dea74045e822352ce4b3ee77319dc5ff2f,"$1,598,092.20",$0.0190 ,EventChain,"84,000,000"
20,0xacfa209fb73bf3dd5bbfb1101b9bc999c49062a5,"$326,626.14",$0.0080 ,Blockchain Certified Data Token,"40,835,044.388861920562640652"
21,0x7b2df125567815ac9b57da04b620f50bc93b320c,"$218,373.83",$0.0000 ,Archetypal Network,"7,042,613,083.72709913"
22,0x8971f9fd7196e5cee2c1032b50f656855af7dd26,"$107,885,238.60",$0.0180 ,Lambda,"6,000,000,000"
23,0xBA5F11b16B155792Cf3B2E6880E8706859A8AEB6,"$9,360,612.91",$0.4680 ,Aeron,"20,000,000"
24,0x679badc551626e01b23ceecefbc9b877ea18fc46,"$170,153.46",$0.0170 ,Ccore,"10,000,000"
25,0x30ceCB5461A449A90081F5a5F55db4e048397BAB,"$548,459.57",$0.0078 ,Tracto,"70,000,000"
26,0xe120c1ecbfdfea7f0a8f0ee30063491e8c26fedf,"$140,713.26",$0.5922 ,Suretly,"237,614"
27,0x9af4f26941677c706cfecf6d3379ff01bb85d5ab,"$2,262,350.09",$0.0017 ,DomRaiderToken,"1,300,000,000"
28,0xbe6c8f2810ef39420d2dc2901b8414c8c45fee6d,"$63,574.20",$0.0000 ,MICROMINES,"18,000,000,000"
29,0xd44bb6663936cab1310584a277f7daa6943d4904,"$33,622,652.90",$0.0050 ,Winco,"6,752,580,800"
30,0x539efe69bcdd21a83efd9122571a64cc25e0282b,"$1,001,600.28",$0.0238 ,Ethereum Blue,"42,000,000"
31,0x71d01db8d6a2fbea7f8d434599c237980c234e4c,"$551,700.08",$0.0295 ,Gladius,"18,681,999.37324748"
